0.5	0.5	0
0.5	0.4	0
0.5	0.3	0
0.5	0.2	0
0.5	0.1	0
0.5	0.01	0.53299
0.5	0.0010	0.5222
0.5	1.0E-4	0.54352
0.5	1.0E-5	0.54992
0.4	0.5	0
0.4	0.4	0
0.4	0.3	0
0.4	0.2	0
0.4	0.1	0
0.4	0.01	0.51346
0.4	0.0010	0.57519
0.4	1.0E-4	0.549
0.4	1.0E-5	0.59981
0.3	0.5	0
0.3	0.4	0
0.3	0.3	0
0.3	0.2	0
0.3	0.1	0
0.3	0.01	0.52493
0.3	0.0010	0.50508
0.3	1.0E-4	0.5695
0.3	1.0E-5	0.58797
0.2	0.5	0
0.2	0.4	0
0.2	0.3	0
0.2	0.2	0
0.2	0.1	0
0.2	0.01	0.52023
0.2	0.0010	0.54457
0.2	1.0E-4	0.55749
0.2	1.0E-5	0.58848
0.1	0.5	0
0.1	0.4	0
0.1	0.3	0
0.1	0.2	0
0.1	0.1	0
0.1	0.01	0.52407
0.1	0.0010	0.55758
0.1	1.0E-4	0.62867
0.1	1.0E-5	0.59681
0.01	0.5	0
0.01	0.4	0
0.01	0.3	0
0.01	0.2	0
0.01	0.1	0
0.01	0.01	0.54337
0.01	0.0010	0.58744
0.01	1.0E-4	0.62136
0.01	1.0E-5	0.61745
0.0010	0.5	0
0.0010	0.4	0
0.0010	0.3	0
0.0010	0.2	0
0.0010	0.1	0
0.0010	0.01	0.54786
0.0010	0.0010	0.59023
0.0010	1.0E-4	0.61784
0.0010	1.0E-5	0.6146
