0.5	0.5	0.4997
0.5	0.4	0.56807
0.5	0.3	0.45637
0.5	0.2	0.62103
0.5	0.1	0.4425
0.5	0.01	0.44804
0.5	0.0010	0.35983
0.5	1.0E-4	0.3421
0.5	1.0E-5	0.33106
0.4	0.5	0.38931
0.4	0.4	0.51919
0.4	0.3	0.51764
0.4	0.2	0.54994
0.4	0.1	0.45997
0.4	0.01	0.47369
0.4	0.0010	0.34982
0.4	1.0E-4	0.33824
0.4	1.0E-5	0.34571
0.3	0.5	0.44834
0.3	0.4	0.515
0.3	0.3	0.55509
0.3	0.2	0.52876
0.3	0.1	0.5458
0.3	0.01	0.52752
0.3	0.0010	0.376
0.3	1.0E-4	0.35329
0.3	1.0E-5	0.34649
0.2	0.5	0.48229
0.2	0.4	0.49799
0.2	0.3	0.44219
0.2	0.2	0.4732
0.2	0.1	0.47776
0.2	0.01	0.62737
0.2	0.0010	0.37402
0.2	1.0E-4	0.3555
0.2	1.0E-5	0.35422
0.1	0.5	0.49116
0.1	0.4	0.5232
0.1	0.3	0.40826
0.1	0.2	0.50824
0.1	0.1	0.50659
0.1	0.01	0.73904
0.1	0.0010	0.40366
0.1	1.0E-4	0.36327
0.1	1.0E-5	0.35983
0.01	0.5	0.46085
0.01	0.4	0.48117
0.01	0.3	0.5042
0.01	0.2	0.45627
0.01	0.1	0.5597
0.01	0.01	0.82529
0.01	0.0010	0.40704
0.01	1.0E-4	0.36979
0.01	1.0E-5	0.36248
0.0010	0.5	0.50853
0.0010	0.4	0.56697
0.0010	0.3	0.4358
0.0010	0.2	0.49526
0.0010	0.1	0.39881
0.0010	0.01	0.78933
0.0010	0.0010	0.41151
0.0010	1.0E-4	0.36806
0.0010	1.0E-5	0.36071
